"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,090741,CME ,00,090 ,  152779,    9050,   45599,     307,   37533,   33599,    6237,   37521,   29209,    9137,   20901,     528,       0,  120686,  124616,   32093,   28163,   -2583,    3565,  -23432,       0,   -2652,   15211,     341,   -3397,     892,     282,     767,     -58,    -714,   -1808,   -7478,    -775,    4895,  100.0,    5.9,   29.8,    0.2,   24.6,   22.0,    4.1,   24.6,   19.1,    6.0,   13.7,    0.3,    0.0,   79.0,   81.6,   21.0,   18.4,    109,      7,      8,.,     17,     17,      7,     23,     22,     17,     13,.,      0,     71,     65,    18.1,    28.1,    29.9,    40.4,    18.0,    28.1,    28.6,    39.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,092741,CME ,00,092 ,   49385,   31234,       0,      30,    4714,   13633,    1063,    4769,   10449,     178,       0,       0,       0,   41988,   25353,    7397,   24032,    2088,    3393,       0,      -1,    1027,   -1887,      16,    -204,    2312,     147,       0,       0,       0,    4378,     587,   -2290,    1501,  100.0,   63.2,    0.0,    0.1,    9.5,   27.6,    2.2,    9.7,   21.2,    0.4,    0.0,    0.0,    0.0,   85.0,   51.3,   15.0,   48.7,     47,      8,      0,.,      5,     13,.,      6,     15,.,      0,      0,      0,     23,     31,    53.8,    13.0,    68.6,    22.5,    53.7,    13.0,    68.5,    22.5,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,096742,CME ,00,096 ,  268496,  132467,   29416,    4188,   33910,  133590,    2501,   64400,   50903,    6119,    4321,    5976,       0,  247906,  232693,   20590,   35803,   -4296,   -2827,   -1015,     643,     631,     819,     333,   -4138,   -2212,     904,     351,    -498,       0,   -4103,   -1026,    -193,   -3270,  100.0,   49.3,   11.0,    1.6,   12.6,   49.8,    0.9,   24.0,   19.0,    2.3,    1.6,    2.2,    0.0,   92.3,   86.7,    7.7,   13.3,    137,     10,      4,      5,     12,     40,     13,     22,     40,     14,      5,      4,      0,     64,    105,    51.9,    27.4,    66.9,    37.8,    50.7,    27.4,    65.6,    37.7,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,097741,CME ,00,097 ,  254813,  160260,    7984,     498,   43044,  108527,    6575,   23023,   89696,    2307,    1099,    1749,       0,  236806,  217336,   18007,   37477,   16818,    9686,    1605,      -4,    4215,     -36,    1654,    2559,   14298,     308,     -19,     490,       0,   18399,   18315,   -1581,   -1497,  100.0,   62.9,    3.1,    0.2,   16.9,   42.6,    2.6,    9.0,   35.2,    0.9,    0.4,    0.7,    0.0,   92.9,   85.3,    7.1,   14.7,    137,     11,      4,.,     17,     33,     13,     17,     47,     14,.,      6,      0,     66,    100,    54.0,    29.1,    68.2,    41.7,    53.8,    29.0,    68.0,    41.6,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","FutOnly"
"EURO FX - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,099741,CME ,00,099 ,  694926,   52040,  281672,    1789,  380941,  190813,   30199,   76413,   96578,   17437,   41678,   12973,    6162,  606659,  637623,   88267,   57303,    6477,   12643,   -4564,    -399,  -13008,    4948,     332,      68,    9520,   -1875,    3023,    -120,    -505,     279,    7337,    6198,    -860,  100.0,    7.5,   40.5,    0.3,   54.8,   27.5,    4.3,   11.0,   13.9,    2.5,    6.0,    1.9,    0.9,   87.3,   91.8,   12.7,    8.2,    335,     22,     13,      7,    103,     44,     42,     55,     48,     34,     37,     13,      8,    245,    181,    14.7,    39.2,    23.6,    50.1,    13.5,    39.1,    21.6,    49.8,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 ","F10","FutOnly"
"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,232741,CME ,00,232 ,  152257,   38756,    6191,      55,   41183,   76244,    3215,   41597,   35160,    3824,    2297,     529,       0,  130927,  125218,   21330,   27039,    5167,    1643,  -10153,       7,   -4329,   13517,    2021,    3978,   -6076,    3197,     440,       0,       0,    6957,    2513,   -1790,    2654,  100.0,   25.5,    4.1,    0.0,   27.0,   50.1,    2.1,   27.3,   23.1,    2.5,    1.5,    0.3,    0.0,   86.0,   82.2,   14.0,   17.8,     99,      8,      5,.,     12,     19,      7,     27,     23,     10,      4,.,      0,     57,     60,    34.8,    44.9,    47.5,    54.2,    34.6,    44.4,    47.3,    53.7,"(CONTRACTS OF AUD 100,000)","232741","CME ","232 ","F10","FutOnly"
"EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,299741,CME ,00,099 ,   30369,       0,    9278,       0,   13036,    6661,    3229,     913,    5117,     867,       0,       0,       0,   18045,   25152,   12324,    5217,    -488,       0,       1,       0,     -61,    -491,       0,     -10,     312,     123,       0,       0,       0,      52,     -55,    -540,    -433,  100.0,    0.0,   30.6,    0.0,   42.9,   21.9,   10.6,    3.0,   16.8,    2.9,    0.0,    0.0,    0.0,   59.4,   82.8,   40.6,   17.2,     33,      0,      5,      0,     15,      6,      7,.,      4,.,      0,      0,      0,     22,     20,    20.3,    50.1,    35.0,    64.5,    20.3,    49.6,    31.1,    62.5,"(CONTRACTS OF EUR 125,000)","299741","CME ","099 ","F10","FutOnly"
"EURO FX/JAPANESE YEN XRATE - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,399741,CME ,00,099 ,   23490,    8538,    1663,       0,    5085,   10111,    1390,       0,    5478,       0,       0,     664,       0,   15013,   19306,    8477,    4184,     545,       0,     529,       0,     502,       7,       0,       0,     -76,       0,       0,      19,       0,     502,     479,      43,      66,  100.0,   36.3,    7.1,    0.0,   21.6,   43.0,    5.9,    0.0,   23.3,    0.0,    0.0,    2.8,    0.0,   63.9,   82.2,   36.1,   17.8,     23,.,.,      0,      5,     10,      5,      0,      4,      0,      0,.,      0,     11,     17,    53.5,    45.2,    61.9,    61.1,    53.5,    45.2,    58.0,    58.8,"(CONTRACTS OF EUR 125,000)","399741","CME ","099 ","F10","FutOnly"
"CHINESE RENMINBI-HK (CNH) - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,082744,CME ,00,082 ,    8416,       0,       0,       0,       0,     200,       0,    2166,    7503,     445,    4246,       0,      17,    6874,    8165,    1542,     251,     -48,       0,       0,       0,       0,     -50,       0,    -156,      67,      46,     103,     -66,     -43,     -50,     -46,       2,      -2,  100.0,    0.0,    0.0,    0.0,    0.0,    2.4,    0.0,   25.7,   89.2,    5.3,   50.5,    0.0,    0.2,   81.7,   97.0,   18.3,    3.0,     21,      0,      0,      0,      0,.,      0,      4,      5,      4,     11,      0,.,     18,      8,    43.8,    89.5,    63.9,    97.0,    40.2,    88.4,    60.4,    91.5,"(CONTRACTS OF 100,000 USD)","082744","CME ","082 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,095741,CME ,00,095 ,  151933,     607,   81097,     682,   76552,    7049,    1601,   60347,   24194,    1024,    4175,   33270,     174,  145162,  149091,    6771,    2842,   -4833,    -330,   -8190,      29,   -6663,    3172,     378,      64,      37,      11,    1805,     349,      44,   -4662,   -4170,    -171,    -663,  100.0,    0.4,   53.4,    0.4,   50.4,    4.6,    1.1,   39.7,   15.9,    0.7,    2.7,   21.9,    0.1,   95.5,   98.1,    4.5,    1.9,    164,.,     10,.,     23,     15,      7,     52,     30,      5,     10,     21,.,     97,     82,    42.9,    46.9,    55.7,    69.7,    42.7,    46.9,    55.5,    69.7,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
