"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",220510,2022-05-10,090741,CME ,00,090 ,  151009,    8976,   36760,     466,   40164,   34946,    6101,   30879,   31511,    9905,   21283,     553,     355,  118129,  120597,   32880,   30412,   -1770,     -74,   -8839,     159,    2631,    1347,    -136,   -6642,    2302,     768,     382,      25,     355,   -2557,   -4019,     787,    2249,  100.0,    5.9,   24.3,    0.3,   26.6,   23.1,    4.0,   20.4,   20.9,    6.6,   14.1,    0.4,    0.2,   78.2,   79.9,   21.8,   20.1,    112,      7,      8,      4,     17,     17,      8,     23,     24,     17,     14,.,.,     72,     70,    17.7,    27.1,    29.6,    38.9,    17.3,    27.1,    28.4,    37.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",220510,2022-05-10,092741,CME ,00,092 ,   51282,   29942,    1842,      34,    5939,   13146,    1088,    6006,   12843,       2,       0,       0,       0,   43011,   28955,    8271,   22327,    1897,   -1292,    1842,       4,    1225,    -487,      25,    1237,    2394,    -176,       0,       0,       0,    1023,    3602,     874,   -1705,  100.0,   58.4,    3.6,    0.1,   11.6,   25.6,    2.1,   11.7,   25.0,    0.0,    0.0,    0.0,    0.0,   83.9,   56.5,   16.1,   43.5,     51,      7,.,.,      6,     13,      4,     10,     13,.,      0,      0,      0,     28,     30,    51.5,    14.6,    64.7,    25.1,    51.4,    14.6,    64.6,    25.1,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",220510,2022-05-10,096742,CME ,00,096 ,  264594,  133801,   29573,    5662,   32276,  128393,    4103,   57370,   48177,    6879,    4346,    6003,       0,  244437,  228790,   20157,   35804,   -3902,    1334,     157,    1474,   -1634,   -5197,    1602,   -7030,   -2726,     760,      25,      27,       0,   -3469,   -3903,    -433,       1,  100.0,   50.6,   11.2,    2.1,   12.2,   48.5,    1.6,   21.7,   18.2,    2.6,    1.6,    2.3,    0.0,   92.4,   86.5,    7.6,   13.5,    137,      9,      4,      5,     11,     41,     14,     18,     45,     14,      5,      4,      0,     66,    104,    53.7,    28.3,    69.0,    36.6,    52.5,    28.3,    67.6,    36.5,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",220510,2022-05-10,097741,CME ,00,097 ,  247278,  159366,    6859,     760,   41938,  113070,    3668,   18482,   80000,    2688,     565,    5949,       0,  227467,  212994,   19811,   34284,   -7535,    -894,   -1125,     262,   -1106,    4543,   -2907,   -4541,   -9696,     381,    -534,    4200,       0,   -9339,   -4342,    1804,   -3193,  100.0,   64.4,    2.8,    0.3,   17.0,   45.7,    1.5,    7.5,   32.4,    1.1,    0.2,    2.4,    0.0,   92.0,   86.1,    8.0,   13.9,    135,     11,      5,.,     16,     32,     14,     18,     44,     11,.,      7,      0,     63,     99,    54.9,    30.1,    70.3,    43.0,    54.5,    30.0,    70.0,    42.9,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","FutOnly"
"EURO FX - CHICAGO MERCANTILE EXCHANGE",220510,2022-05-10,099741,CME ,00,099 ,  705046,   42305,  292660,    2387,  396166,  184759,   30659,   80967,   99030,   18334,   43334,   12820,    5973,  620125,  646622,   84921,   58424,   10120,   -9735,   10988,     598,   15225,   -6054,     460,    4554,    2452,     897,    1656,    -153,    -189,   13466,    8999,   -3346,    1121,  100.0,    6.0,   41.5,    0.3,   56.2,   26.2,    4.3,   11.5,   14.0,    2.6,    6.1,    1.8,    0.8,   88.0,   91.7,   12.0,    8.3,    340,     19,     13,      7,    105,     42,     47,     57,     49,     31,     40,     15,      9,    246,    188,    14.8,    38.6,    23.6,    49.8,    13.8,    38.5,    21.7,    49.6,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 ","F10","FutOnly"
"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",220510,2022-05-10,232741,CME ,00,232 ,  153209,   49644,    2911,     369,   44356,   81349,    4109,   30453,   35459,    2940,    1207,     529,       0,  133078,  127666,   20131,   25543,     952,   10888,   -3280,     314,    3173,    5105,     894,  -11144,     299,    -884,   -1090,       0,       0,    2151,    2448,   -1199,   -1496,  100.0,   32.4,    1.9,    0.2,   29.0,   53.1,    2.7,   19.9,   23.1,    1.9,    0.8,    0.3,    0.0,   86.9,   83.3,   13.1,   16.7,     95,     11,.,.,     14,     18,      8,     19,     27,     12,.,.,      0,     56,     61,    36.4,    44.4,    50.3,    53.3,    36.1,    43.9,    49.9,    52.8,"(CONTRACTS OF AUD 100,000)","232741","CME ","232 ","F10","FutOnly"
"EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE",220510,2022-05-10,299741,CME ,00,099 ,   29857,       0,   10573,       0,   12782,    1999,    3229,    1379,    9398,      49,       0,       0,       0,   17439,   25248,   12418,    4609,    -512,       0,    1295,       0,    -254,   -4662,       0,     466,    4281,    -818,       0,       0,       0,    -606,      96,      94,    -608,  100.0,    0.0,   35.4,    0.0,   42.8,    6.7,   10.8,    4.6,   31.5,    0.2,    0.0,    0.0,    0.0,   58.4,   84.6,   41.6,   15.4,     36,      0,      5,      0,     15,      5,      7,.,      8,.,      0,      0,      0,     21,     23,    20.9,    44.3,    35.8,    60.6,    20.9,    44.3,    31.8,    59.0,"(CONTRACTS OF EUR 125,000)","299741","CME ","099 ","F10","FutOnly"
"EURO FX/JAPANESE YEN XRATE - CHICAGO MERCANTILE EXCHANGE",220510,2022-05-10,399741,CME ,00,099 ,   24057,    8538,    1606,       0,    5397,    9301,    1456,       0,    6227,       0,       0,     672,       0,   15391,   19262,    8666,    4795,     567,       0,     -57,       0,     312,    -810,      66,       0,     749,       0,       0,       8,       0,     378,     -44,     189,     611,  100.0,   35.5,    6.7,    0.0,   22.4,   38.7,    6.1,    0.0,   25.9,    0.0,    0.0,    2.8,    0.0,   64.0,   80.1,   36.0,   19.9,     21,.,.,      0,      5,      9,      5,      0,      4,      0,      0,.,      0,     11,     15,    53.5,    45.1,    62.0,    62.7,    53.5,    45.1,    57.9,    60.1,"(CONTRACTS OF EUR 125,000)","399741","CME ","099 ","F10","FutOnly"
"CHINESE RENMINBI-HK (CNH) - CHICAGO MERCANTILE EXCHANGE",220510,2022-05-10,082744,CME ,00,082 ,    7284,       0,       0,       0,       0,     100,       0,     875,    6671,     296,    4168,       0,       0,    5339,    7067,    1945,     217,   -1132,       0,       0,       0,       0,    -100,       0,   -1291,    -832,    -149,     -78,       0,     -17,   -1535,   -1098,     403,     -34,  100.0,    0.0,    0.0,    0.0,    0.0,    1.4,    0.0,   12.0,   91.6,    4.1,   57.2,    0.0,    0.0,   73.3,   97.0,   26.7,    3.0,     20,      0,      0,      0,      0,.,      0,.,      5,.,     11,      0,      0,     17,      6,    39.1,    92.8,    56.0,    97.0,    39.1,    90.9,    56.0,    93.0,"(CONTRACTS OF 100,000 USD)","082744","CME ","082 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",220510,2022-05-10,095741,CME ,00,095 ,  153858,     825,   82221,     839,   78627,    7610,    1493,   59624,   24427,    1805,    4025,   32984,     153,  147391,  151532,    6467,    2326,    1925,     218,    1124,     157,    2075,     561,    -108,    -723,     233,     781,    -150,    -286,     -21,    2229,    2441,    -304,    -516,  100.0,    0.5,   53.4,    0.5,   51.1,    4.9,    1.0,   38.8,   15.9,    1.2,    2.6,   21.4,    0.1,   95.8,   98.5,    4.2,    1.5,    168,      4,      9,.,     25,     14,      7,     52,     34,      7,     10,     20,.,    102,     84,    45.2,    47.9,    57.3,    70.1,    45.0,    47.9,    57.1,    70.1,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
